call_date,p50,p90
2025-11-01,90,193
2025-11-02,81,207
2025-11-03,80,205
2025-11-04,74,190
2025-11-05,70,199
2025-11-06,75,202
2025-11-07,86,203
2025-11-08,93,205
2025-11-09,33,200
2025-11-10,85,203
2025-11-11,86,203
2025-11-12,56,198
2025-11-13,85,204
2025-11-14,75,201
2025-11-15,76,204
2025-11-16,82,194
2025-11-17,81,187
2025-11-18,68,194
2025-11-19,69,177
2025-11-20,83,202
2025-11-21,89,193
2025-11-22,85,195
2025-11-23,90,201
2025-11-24,79,199
2025-11-25,98,202
2025-11-26,92,197
2025-11-27,30,192
2025-11-28,73,210
2025-11-29,93,211
2025-11-30,86,186
2025-12-01,82,192
